time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-17T20:43:27.207Z,42.9963,-126.3231,10,4.8,mww,,161,1.465,0.99,us,us70005v67,2020-01-03T16:09:25.040Z,"151km W of Port Orford, Oregon",earthquake,6.3,1.9,0.047,44,reviewed,us,us
2019-10-16T22:10:49.890Z,41.506,-124.0773333,30.75,3.23,ml,18,151,0.1283,0.19,nc,nc73293130,2020-01-03T16:09:21.040Z,"6km WSW of Klamath, CA",earthquake,0.54,0.55,0.183,43,reviewed,nc,nc
2019-10-12T08:49:49.790Z,40.37,-124.948,11.55,2.52,md,38,248,0.4699,0.21,nc,nc73290495,2019-10-24T02:20:03.149Z,"56km W of Petrolia, CA",earthquake,0.74,1.27,0.24,31,reviewed,nc,nc
2019-10-10T06:20:51.660Z,40.3056667,-124.7133333,13.29,2.59,md,22,244,0.2841,0.24,nc,nc73289580,2020-02-27T06:47:24.519Z,"36km W of Petrolia, CA",earthquake,2.56,1.69,0.115,11,reviewed,nc,nc
2019-10-07T00:10:03.110Z,40.3105,-124.6115,18.57,2.92,ml,55,233,0.2068,0.18,nc,nc73287665,2019-12-27T15:51:00.040Z,"28km W of Petrolia, CA",earthquake,0.7,0.38,0.337,58,reviewed,nc,nc
2019-10-06T23:17:33.090Z,40.3036667,-124.58,18.6,3.09,ml,33,248,0.1822,0.13,nc,nc73287645,2019-12-27T15:51:00.040Z,"25km W of Petrolia, CA",earthquake,1.07,0.36,0.243,26,reviewed,nc,nc
2019-09-18T17:23:56.150Z,40.3628333,-124.0426667,24.38,2.79,ml,33,51,0.08066,0.14,nc,nc73275985,2019-09-27T02:21:40.470Z,"16km SSE of Rio Dell, CA",earthquake,0.29,0.67,0.187,20,reviewed,nc,nc
2019-09-16T20:41:40.530Z,40.6893333,-124.091,22.14,2.57,md,25,47,0.07718,0.1,nc,nc73275015,2019-09-28T08:56:03.567Z,"7km SE of Pine Hills, CA",earthquake,0.38,0.33,0.246,22,reviewed,nc,nc
2019-09-15T22:15:29.400Z,40.3923333,-125.0776667,0.34,2.67,md,34,259,0.5711,0.35,nc,nc73274320,2020-02-27T07:59:35.135Z,"68km W of Petrolia, CA",earthquake,2.13,2.59,0.156,25,reviewed,nc,nc
2019-09-15T06:32:41.230Z,40.4223333,-124.2383333,26.35,2.75,md,26,95,0.08991,0.12,nc,nc73273870,2019-09-25T23:12:03.582Z,"12km NNE of Petrolia, CA",earthquake,0.43,0.78,0.186,46,reviewed,nc,nc
